"","state_Rnls","a_Rnls","b1_Rnls","b2_Rnls","V_A_Rnls","V_B1_Rnls","V_B2_Rnls","C_AB1_Rnls","C_AB2_Rnls","C_B1B2_Rnls","a","b1","b2","tau","R"
"1","Alabama",1.18227146445596,1.79840179317347,-0.0264531608660116,0.0103366459762762,0.0294940252122433,3.1316119480251e-05,-0.00487068773936002,-0.00044064527490615,-0.000212315134970998,1.18115432110558,1.79732492778137,-0.0263910756643606,17.471655,0.248302801091857
"2","Alaska",1.24504391995732,3.66853990134123,-0.021530562866999,0.0374203065718717,0.106562611073699,1.82656678424912e-05,-0.0160864161906089,-0.000659563883266084,-0.000298314041635915,1.24285789388795,3.66652842186394,-0.0214823653943767,15.93942,0.393437658825056
"3","Arizona",1.38353981195128,3.2786363720573,-0.0288587267048412,0.0138089570798868,0.0831246694753947,2.19656177603547e-05,-0.00298006429923711,-0.000401460642729275,-0.000600766923096883,1.38196375322203,3.27727081110708,-0.0288076567784747,16.361231,0.364747510137762
"4","Arkansas",1.37519978252743,1.55396962670146,-0.0282596827210301,0.0149747773936493,0.050060606289095,7.37767606005191e-05,-0.00619315844318683,-0.00080730995709751,-0.000546362327043591,1.37374709368397,1.55269052531874,-0.0281621187817007,17.460937,0.246584029388184
"5","California",1.43096119212096,4.17987226703293,-0.0265829995600563,0.00336614811476321,0.0193634004452421,2.79928569455066e-06,-0.00114967654262554,-6.83162779811411e-05,-9.3747049243158e-05,1.43020786299557,4.17919000793652,-0.0265654009921529,15.597551,0.431797294766968
"6","Colorado",1.45435850196085,2.31713122227854,-0.0339410036893222,0.0143765913302022,0.18532541024773,9.76103837245661e-05,-0.000333478331606282,-0.000779118487675294,-0.00233749549418332,1.4526895510778,2.315194206033,-0.0338040722125379,17.037598,0.30009529575689
"7","Connecticut",1.37893954430923,2.85993885539701,-0.0273726821349142,0.0240767839922686,0.155562998009632,5.14997385078168e-05,-0.00741936438821046,-0.000771363143508051,-0.00117597088850689,1.37689474002124,2.85804611753787,-0.0272994465946159,16.593883,0.338787891568992
"8","Delaware",1.44228980565803,2.15362783176102,-0.032411003737695,0.0218189409019672,0.179381057468142,0.000118514701527343,-0.00356619609786515,-0.00112201201373573,-0.00226035707341661,1.44027379931614,2.15167863385948,-0.0322980582625872,17.110473,0.289678884435513
"9","Florida",1.19672561777381,2.52323018041339,-0.0339281070712246,0.0043910474193408,0.0261369412534229,1.59322465910885e-05,-0.00140076317609923,-0.000189301661368395,-0.000261981055492559,1.19585809485403,2.52244542932925,-0.0338854637766921,17.183474,0.290500931256604
"10","Georgia",1.30323434426379,2.99020244051693,-0.0364826267790451,0.00878475198382637,0.060893387666618,2.93193966133311e-05,-0.00289639791111447,-0.00034749243688085,-0.000569904894350007,1.30200077647157,2.98902208699156,-0.036427364548767,16.868724,0.326885183426291
"11","Hawaii",1.34083474366427,3.73192791457147,-0.0141261773876617,0.116331346118839,0.178091905112074,1.63828077910346e-05,-0.0586217428168545,-0.0011730053645214,-4.18053676571221e-05,1.33850737917983,3.72809719878067,-0.0140871224362179,15.444518,0.420761375542659
"12","Idaho",1.43920887547675,1.61210584936024,-0.0168350903271595,0.0343764980018604,0.0550199311146202,3.62155575693397e-05,-0.0164116715229328,-0.000942720545912843,-0.000109206815548349,1.44170267763935,1.61218418743959,-0.0169266545041345,17.13635,0.263852578998343
"13","Illinois",1.4005500519756,3.64275415467408,-0.0358901141030425,0.00570734487026912,0.0613609260317487,1.67497971115287e-05,-0.000912673714120928,-0.000202200810508311,-0.000509897527936908,1.39951483598231,3.64162360008381,-0.035851118854098,16.364198,0.377633927017902
"14","Indiana",1.49721517805461,2.1644134840283,-0.0381884082121937,0.00826269242795116,0.0828264113676622,7.19444039341208e-05,-0.000962744751405298,-0.000525795425126555,-0.00122489239783637,1.49596267559275,2.16310443430674,-0.0381039667785126,17.167424,0.288464869294259
